symptoms,recommended_medicine
"weight loss, rash, diarrhea",Metronidazole
"back pain, vomiting",Sertraline
"cough, back pain",Ondansetron
"headache, burning sensation",Fluoxetine
"nausea, fatigue, depression, weight loss",Pantoprazole
"chest pain, diarrhea, loss of appetite, sore throat",Hydroxyzine
"stomach ache, runny nose, body pain, headache",Cetirizine
"loss of appetite, vomiting, irritability, shortness of breath",Pantoprazole
"back pain, burning sensation, fatigue, weight loss",Disprin
"itching, anxiety",Domperidone
"stomach ache, sore throat, body pain",Domperidone
"runny nose, shortness of breath, diarrhea",Amoxicillin
"headache, vomiting",Fluoxetine
"dizziness, body pain, nausea, rash",Cetirizine
"body pain, weight loss, depression",Azithromycin
"fever, irritability",Omeprazole
"joint pain, chest pain, burning sensation, back pain",Omeprazole
"sore throat, itching, loss of appetite, anxiety",Azithromycin
"sore throat, nausea, joint pain",Metronidazole
"fever, nausea, sore throat",Domperidone
"irritability, dizziness, sore throat",Sertraline
"sore throat, depression, anxiety",Aspirin
"dizziness, fatigue",Betadine
"chest pain, joint pain, insomnia",Omeprazole
"fever, anxiety",Betadine
"runny nose, joint pain, nausea, loss of appetite",Sertraline
"chest pain, shortness of breath, body pain",Omeprazole
"body pain, joint pain, anxiety",Digene
"back pain, dizziness, depression, fatigue",Disprin
"rash, dizziness, fever",Hydroxyzine
"cough, sore throat",Loratadine
"shortness of breath, burning sensation, dizziness",Domperidone
"insomnia, fatigue, burning sensation, cough",Metronidazole
"rash, joint pain",Fluoxetine
"chest pain, back pain",Hydroxyzine
"dizziness, cough, loss of appetite, shortness of breath",Paracetamol
"back pain, runny nose, chest pain, sore throat",Alprazolam
"runny nose, vomiting",Ibuprofen
"burning sensation, sore throat",Loratadine
"insomnia, headache, anxiety, rash",Amoxicillin
"dizziness, depression, weight loss, anxiety",Cetirizine
"rash, joint pain, depression, loss of appetite",Sertraline
"chest pain, sore throat, burning sensation",Digene
"itching, depression",Domperidone
"runny nose, headache, anxiety",Ibuprofen
"insomnia, headache",Hydroxyzine
"loss of appetite, shortness of breath, diarrhea, weight loss",Metronidazole
"back pain, dizziness, sore throat",Betadine
"fatigue, rash, runny nose, headache",Metronidazole
"cough, back pain, fever, insomnia",Pantoprazole
"burning sensation, fatigue",Dolo 650
"body pain, runny nose",Alprazolam
"rash, back pain, stomach ache",Alprazolam
"insomnia, cough, nausea",Ranitidine
"diarrhea, loss of appetite, body pain",Fluoxetine
"body pain, cough",Levofloxacin
"chest pain, burning sensation",Fluoxetine
"cough, depression, loss of appetite, insomnia",Metronidazole
"joint pain, burning sensation, insomnia",Disprin
"depression, irritability, itching",Sertraline
"vomiting, fever",Betadine
"dizziness, weight loss",Sertraline
"loss of appetite, fatigue",Diazepam
"insomnia, loss of appetite, body pain, cough",Cyclopam
"shortness of breath, stomach ache, cough",Hydroxyzine
"sore throat, vomiting, joint pain, loss of appetite",Aspirin
"chest pain, insomnia, back pain",Betadine
"chest pain, runny nose, insomnia, body pain",Alprazolam
"anxiety, vomiting, fatigue",Ciprofloxacin
"itching, vomiting, shortness of breath",Ciprofloxacin
"cough, joint pain",Pantoprazole
"burning sensation, joint pain, runny nose",Ibuprofen
"anxiety, burning sensation, body pain, irritability",Cetirizine
"back pain, burning sensation, weight loss",Amoxicillin
"cough, sore throat, vomiting, irritability",Ondansetron
"runny nose, insomnia",Disprin
"burning sensation, insomnia, vomiting, itching",Cetirizine
"weight loss, chest pain",Ondansetron
"insomnia, cough, stomach ache",Omeprazole
"fever, sore throat",Dolo 650
"cough, loss of appetite",Ranitidine
"depression, headache",Alprazolam
"fever, shortness of breath, sore throat, burning sensation",Pantoprazole
"diarrhea, joint pain",Ondansetron
"loss of appetite, joint pain, back pain",Loratadine
"weight loss, sore throat",Digene
"weight loss, nausea, dizziness",Azithromycin
"sore throat, vomiting, headache",Loratadine
"vomiting, weight loss",Digene
"diarrhea, anxiety",Ondansetron
"loss of appetite, diarrhea, back pain, shortness of breath",Levofloxacin
"fever, irritability, stomach ache, vomiting",Amoxicillin
"joint pain, burning sensation, sore throat",Ondansetron
"rash, loss of appetite",Disprin
"nausea, dizziness",Domperidone
"depression, sore throat, diarrhea",Amoxicillin
"rash, weight loss, back pain",Cetirizine
"rash, fever, diarrhea",Alprazolam
"sore throat, shortness of breath, weight loss",Digene
"rash, shortness of breath",Ondansetron
